Period,ViewB_Forecast,ViewBT_Forecast,Difference
Jul 2026,94.264,94.247,-0.017
Aug 2026,95.105,95.104,-0.001
Sep 2026,95.168,95.168,0.0
Oct 2026,94.477,94.465,-0.012
Nov 2026,94.828,94.822,-0.006
Dec 2026,94.828,94.822,-0.006
