Scope,N,Mean,Median,Std_Dev,Min,Q1,Q3,Max,Range,IQR,Note
View A - full history (mixed frequency),129,93.9879534883721,94.228,1.870120082459885,82.395,92.718,95.412,96.926,14.531000000000006,2.6940000000000026,"Unequal temporal weighting: 4 obs/yr pre-2021, 12 obs/yr after"
View B - monthly modelling series,66,94.88836363636365,95.2775,1.5126412624317727,91.06,94.2025,95.94575,96.926,5.866,1.7432500000000033,Equally spaced monthly
View C - quarterly rounds (long history),85,93.44911764705883,93.434,1.8020056313780508,82.395,92.604,94.678,96.078,13.683000000000007,2.073999999999998,Equally spaced quarterly; balanced temporal weighting
Pre-COVID (Apr 2005 - Dec 2019),59,93.27859322033899,92.969,0.9987642902804695,91.72,92.582,94.137,95.412,3.6920000000000073,1.5550000000000068,Descriptive era split of View A; not a regime claim
COVID and recovery (Jan 2020 - Dec 2021),16,91.5511875,92.106,2.702099460758863,82.395,91.21350000000001,92.8425,94.678,12.283000000000001,1.6289999999999907,Descriptive era split of View A; not a regime claim
Post-recovery (Jan 2022 - Jun 2026),54,95.48500000000003,95.55199999999999,0.8076080452279939,93.569,95.05175,96.08625,96.926,3.3569999999999993,1.0345000000000084,Descriptive era split of View A; not a regime claim
View B-T - recovery-trimmed monthly (Nov 2021 onward),56,95.41191071428571,95.5135,0.8806373782000838,93.374,95.0125,96.08075,96.926,3.5520000000000067,1.068249999999992,Excludes the leading 10 months below the pre-COVID reference of 93.279%
