Rank,Series,Model,Status,MAE,RMSE,MAPE,MASE,Seasonal,Has_Interval,Rel_MAE_vs_Naive,Beats_Naive
1,View B (full),"SARIMA(0, 1, 1)(1, 0, 0, 12)",ok,0.8311,0.9277,0.8749,1.6607,Yes,Yes,0.8053,Yes
2,View B (full),Seasonal naive,ok,0.9098,1.005,0.957,1.8181,Yes,No,0.8815,Yes
3,View B (full),SES (level only),ok,0.9372,1.083,0.9872,1.8727,No,Yes,0.9081,Yes
4,View B (full),"ARIMA(0, 1, 1)",ok,0.9381,1.084,0.9882,1.8746,No,Yes,0.9089,Yes
5,View B (full),Naive (random walk),ok,1.0321,1.1693,1.0869,2.0624,No,No,1.0,No
6,View B (full),Holt (damped trend),ok,1.2825,1.4013,1.3499,2.5629,No,Yes,1.2426,No
7,View B (full),"Holt-Winters (damped, add.)",ok,1.2982,1.4229,1.3661,2.5941,Yes,Yes,1.2578,No
8,View B (full),Random walk with drift,ok,1.6513,1.8,1.7376,3.2997,No,No,1.5999,No
