Period,Forecast,Lower,Upper,Interval_Width,Horizon_Months,Change_From_Last_Observed,In_Reported_Horizon
2026-07-01,94.26397554396101,93.2148420333795,95.31310905454252,2.098267021163025,1,-0.8760244560389907,Yes
2026-08-01,95.1047124299773,93.94180486190442,96.26761999805018,2.3258151361457635,2,-0.03528757002270311,Yes
2026-09-01,95.16816427043135,93.90166243437373,96.43466610648896,2.5330036721152283,3,0.02816427043134695,Yes
2026-10-01,94.4772442299316,93.11500350612637,95.83948495373683,2.724481447610458,4,-0.6627557700684008,Yes
2026-11-01,94.82799190355264,93.37631264199054,96.27967116511475,2.9033585231242114,5,-0.3120080964473573,Yes
2026-12-01,94.82799190355264,93.29207342677543,96.36391038032986,3.071836953554424,6,-0.3120080964473573,Yes
2027-01-01,93.98549246641264,92.36972068297237,95.6012642498529,3.231543566880532,7,-1.1545075335873634,No
2027-02-01,94.39557936119905,92.7037190404226,96.08743968197551,3.3837206415529124,8,-0.7444206388009462,No
2027-03-01,94.46549388910677,92.70082274867467,96.23016502953887,3.529342280864199,9,-0.6745061108932333,No
2027-04-01,94.63176121177804,92.79716667272314,96.46635575083295,3.6691890781098095,10,-0.5082387882219592,No
2027-05-01,94.58064722919005,92.6786982257764,96.4825962326037,3.8038980068272963,11,-0.5593527708099515,No
2027-06-01,94.54128358742689,92.57428513789972,96.50828203695406,3.9339968990543355,12,-0.5987164125731113,No
