Family,Order,Seasonal_Order,AICc
ARIMA,"(0, 1, 1)",-,102.364
ARIMA,"(2, 1, 2)",-,103.77
ARIMA,"(1, 1, 3)",-,103.802
ARIMA,"(2, 1, 0)",-,104.138
ARIMA,"(0, 1, 2)",-,104.471
SARIMA,"(0, 1, 1)","(1, 0, 0, 12)",96.732
SARIMA,"(0, 1, 1)","(0, 0, 1, 12)",97.895
SARIMA,"(0, 1, 2)","(1, 0, 0, 12)",98.861
SARIMA,"(2, 1, 0)","(1, 0, 0, 12)",98.905
SARIMA,"(1, 1, 1)","(1, 0, 0, 12)",98.912
