Horizon,N,MAE,Max_Absolute_Error,Naive_MAE,Beats_Naive
1,13,0.3072,0.876,0.5853,Yes
2,13,0.3072,0.876,0.5901,Yes
3,13,0.2891,0.876,0.4687,Yes
4,13,0.3022,1.047,0.6865,Yes
5,13,0.3682,1.125,0.6042,Yes
6,13,0.4385,1.228,0.4303,No
7,13,0.5508,1.531,0.7491,Yes
8,13,0.6357,1.531,0.8176,Yes
9,13,0.7026,1.531,0.7968,Yes
10,13,0.7484,1.531,0.9183,Yes
11,13,0.8166,1.531,0.9674,Yes
12,13,0.8858,1.531,0.8858,No
