Period,Forecast,Lower Bound,Upper Bound
Jul 2026,94.264,93.215,95.313
Aug 2026,95.105,93.942,96.268
Sep 2026,95.168,93.902,96.435
Oct 2026,94.477,93.115,95.839
Nov 2026,94.828,93.376,96.28
Dec 2026,94.828,93.292,96.364
